x,name,bio
http://vocab.getty.edu/ulan/500085999,"Mönnig, Peter J.","German performance and installation artist, born 1955"
http://vocab.getty.edu/ulan/500086002,"Ludlam, Charles","American actor and playwright, 1943-1987"
http://vocab.getty.edu/ulan/500086231,"Ess, Barbara","American photographer, musician, and performance artist, born 1948"
http://vocab.getty.edu/ulan/500086421,"Sherk, Bonnie","American performance artist, contemporary"
http://vocab.getty.edu/ulan/500086756,"Metzger, Gustav","German painter and performance artist, born 1926, active in Great Britain"
http://vocab.getty.edu/ulan/500086907,"Rolfe, Nigel","British performance artist, born 1950"
http://vocab.getty.edu/ulan/500087890,"Clark, Robert A.","American performance artist, born 1947"
http://vocab.getty.edu/ulan/500088211,"Dunlap, Richard","American performance and conceptual artist, born 1939"
http://vocab.getty.edu/ulan/500088696,"De Dominicis, Gino","Italian painter and performance artist, 1947-1988"
http://vocab.getty.edu/ulan/500088858,"Zorio, Gilberto","Italian conceptual artist, performance artist, and sculptor, born 1944"
http://vocab.getty.edu/ulan/500089003,"Beckley, Connie","American composer and installation artist, born 1951"
http://vocab.getty.edu/ulan/500089137,"Blum, June","American painter and performance artist, contemporary"
http://vocab.getty.edu/ulan/500089646,"Dove, Toni","American performance artist, contemporary"
http://vocab.getty.edu/ulan/500089748,"Byars, James Lee","American conceptual artist, scupltor, and draftsman, 1932-1997"
http://vocab.getty.edu/ulan/500090587,"Gerz, Jochen","German performance artist, born 1940"
http://vocab.getty.edu/ulan/500092112,"Schneemann, Carolee","American photographer, performance artist, and video artist, born 1939"
http://vocab.getty.edu/ulan/500092361,"Bruce, Jill","British artist, writer, and performance artist, contemporary"
http://vocab.getty.edu/ulan/500092362,"Dunn, Douglas","American dancer and choreographer, born 1942"
http://vocab.getty.edu/ulan/500092437,"Chong, Ping","American video, performance, and installation artist, born 1946"
http://vocab.getty.edu/ulan/500093197,"Maler, Leopoldo","Argentine painter and installation artist, born 1937"
http://vocab.getty.edu/ulan/500093476,"Eastley, Max","English sculptor and mixed media artist, born 1944"
http://vocab.getty.edu/ulan/500093507,"Palestine, Charlemagne","American multimedia and performance artist, born 1945"
http://vocab.getty.edu/ulan/500093793,Flatz,"German performance artist, born 1952"
http://vocab.getty.edu/ulan/500095524,"Klinkowstein, Tom","American performance artist, active late 20th century"
http://vocab.getty.edu/ulan/500095794,"Dean, Max","Canadian performance and installation artist, born 1949"
http://vocab.getty.edu/ulan/500096304,"Sjoo, Monica","Swedish painter, performance artist, and writer, born 1938, active in Britain"
http://vocab.getty.edu/ulan/500096318,"Signer, Roman","Swiss sculptor and video artist, born 1938"
http://vocab.getty.edu/ulan/500096794,"Ginzburg, Carlos","Argentine painter and photographer, born 1946"
http://vocab.getty.edu/ulan/500096871,"Szentjóby, Tamás","Hungarian performance artist and theorist, born 1944"
http://vocab.getty.edu/ulan/500096953,"MacLennan, Alastair","British installation and performance artist, born 1943"
http://vocab.getty.edu/ulan/500096989,"Orr, Jill","Australian painter and performance artist, born 1952"
http://vocab.getty.edu/ulan/500097623,"Rosler, Martha","American video artist, performance artist, and critic, born 1943"
http://vocab.getty.edu/ulan/500097929,"Winters, Robin","American sculptor, printmaker, and performance artist, born 1950"
http://vocab.getty.edu/ulan/500097958,"Nitsch, Hermann","Austrian performance artist, painter, and composer, born 1938"
http://vocab.getty.edu/ulan/500098220,"Perreault, John","American critic and artist, 1937-2015"
http://vocab.getty.edu/ulan/500098254,"Brus, Günter","Austrian performance artist, draftsman, and painter, born 1938"
http://vocab.getty.edu/ulan/500098690,"Dudley, George","American performance and conceptual artist, active late 20th century"
http://vocab.getty.edu/ulan/500098918,"Crisp, Quentin","American performance artist, actor, and artist's model, 1908-1999"
http://vocab.getty.edu/ulan/500099390,"Way, Jeff","American painter and performance artist, born 1942"
http://vocab.getty.edu/ulan/500099897,"Knox, Sonia","English performance artist, contemporary"
http://vocab.getty.edu/ulan/500100363,"Ridder, Willem de","Dutch painter and performance artist, born 1942"
http://vocab.getty.edu/ulan/500100781,"Toebosch, Moniek","Dutch performance and installation artist, born 1948"
http://vocab.getty.edu/ulan/500100922,"Alpert, Richard","American sculptor and performance artist, born 1947"
http://vocab.getty.edu/ulan/500101060,"Marton, Pier","American video, performance, and installation artist, active late 20th century"
http://vocab.getty.edu/ulan/500101539,"Lacy, Suzanne","American performance artist, born 1945"
http://vocab.getty.edu/ulan/500103769,"Allen, Terry","American conceptual artist and musician, born 1943"
http://vocab.getty.edu/ulan/500104142,"Olito, Michael","Canadian performance artist, born 1942"
http://vocab.getty.edu/ulan/500104480,"Krasiński, Edward","Polish painter and performance artist, born 1925"
http://vocab.getty.edu/ulan/500104766,"Kubota, Shigeko","Japanese video artist, 1937-2015, active in New York City"
http://vocab.getty.edu/ulan/500105718,"Pane, Gina","French performance and installation artist, 1939-1990"
http://vocab.getty.edu/ulan/500105779,"Davila, Juan","Australian painter and performance artist, born 1946"
http://vocab.getty.edu/ulan/500106615,"Lennon, John","English musician, songwriter, and illustrator, 1940-1980"
http://vocab.getty.edu/ulan/500107433,"Parr, Mike","Australian conceptual and performance artist, born 1945"
http://vocab.getty.edu/ulan/500107470,"Altman, Edith","American sculptor and graphic artist, born 1931"
http://vocab.getty.edu/ulan/500107658,"Page, Robin","English painter and performance artist, 1932-2015"
http://vocab.getty.edu/ulan/500107897,"Zouboulis, Nikos","Greek performance artist, born 1953"
http://vocab.getty.edu/ulan/500108045,"Lavier, Bertrand Bégnine","French sculptor, performance artist, and painter, born 1949"
http://vocab.getty.edu/ulan/500109028,"Cintoli, Claudio","Italian artist, 1935-1978"
http://vocab.getty.edu/ulan/500109240,"Cameron, Shirley","British performance artist and sculptor, born 1944"
http://vocab.getty.edu/ulan/500109799,"Lacey, Bruce","British performance artist, born 1927"
http://vocab.getty.edu/ulan/500109865,"Saint James, Marty","English painter and performance artist, born 1954"
http://vocab.getty.edu/ulan/500110594,"Whitman, Robert","American performance artist, born 1935"
http://vocab.getty.edu/ulan/500110977,"Heinisch, Barbara","German painter and performance artist, born 1944"
http://vocab.getty.edu/ulan/500111175,"Mortensen, Kevin","Australian sculptor, performance artist, and photographer, born 1940"
http://vocab.getty.edu/ulan/500111185,"Oiticica, Hélio","Brazilian sculptor, painter, and performance artist, 1937-1980"
http://vocab.getty.edu/ulan/500111229,"Ehrenberg, Felipe","Mexican installation artist, publisher, and writer, born 1943"
http://vocab.getty.edu/ulan/500111874,"Gáyor, Tibor","Hungarian painter and performance artist, born 1929"
http://vocab.getty.edu/ulan/500112013,"Bereś, Jerzy","Polish sculptor and performance artist, born 1930"
http://vocab.getty.edu/ulan/500112466,"Justesen, Kirsten","Danish sculptor and performance artist, born 1943"
http://vocab.getty.edu/ulan/500112668,"Cotton, Paul","American conceptual artist and performance artist, born 1939"
http://vocab.getty.edu/ulan/500114573,"Beecroft, Vanessa","Italian performance artist, born 1969, active in the United States"
http://vocab.getty.edu/ulan/500114639,"Hancock, Trenton Doyle","American painter, collagist, and performance artist, born 1974"
http://vocab.getty.edu/ulan/500114664,"Reeder, Jennifer","American artist, born 1971"
http://vocab.getty.edu/ulan/500114673,"Sullivan, Chris","American performance artist and animator, born 1960"
http://vocab.getty.edu/ulan/500114717,"Hammons, David","American installation and performance artist, born 1943"
http://vocab.getty.edu/ulan/500114720,"Kersels, Martin","American installation artist and sculptor, born 1960"
http://vocab.getty.edu/ulan/500114721,"Lawrence, Annette","American installation artist, born 1965"
http://vocab.getty.edu/ulan/500114728,"Martorell, Antonio","Puerto Rican printmaker, painter, and draftsman, born 1939"
http://vocab.getty.edu/ulan/500114751,"Vicuña, Cecilia","Chilean sculptor and installation artist, born 1948"
http://vocab.getty.edu/ulan/500114761,"Barney, Matthew","American sculptor and filmmaker, born 1967"
http://vocab.getty.edu/ulan/500114905,"Antoni, Janine","American sculptor and installation artist, born 1964"
http://vocab.getty.edu/ulan/500114915,"Sone, Yutaka","Japanese conceptual artist and sculptor, born 1965"
http://vocab.getty.edu/ulan/500114916,"Tiravanija, Rirkrit","Thai installation artist and conceptual artist, born 1961"
http://vocab.getty.edu/ulan/500115596,"Graham, Dan","American conceptual artist, video artist, and writer, born 1942"
http://vocab.getty.edu/ulan/500115649,"Adams, Dennis","American installation and environmental artist, born 1948"
http://vocab.getty.edu/ulan/500115653,"McCarthy, Paul","American performance artist, sculptor, and video artist, born 1945"
http://vocab.getty.edu/ulan/500115954,"Oursler, Tony","American sculptor, video artist, and installation artist, born 1957"
http://vocab.getty.edu/ulan/500115967,"Abramovic, Marina","Serbian performance, installation artist, born 1946"
http://vocab.getty.edu/ulan/500115968,Ulay,"German performance artist, born 1943"
http://vocab.getty.edu/ulan/500115974,"Gordon, Douglas","Scottish video artist and performance artist, born 1966"
http://vocab.getty.edu/ulan/500115978,"Mori, Mariko","Japanese conceptual artist, born 1967"
http://vocab.getty.edu/ulan/500116007,"Cruzvillegas, Abraham","Mexican installation artist, born 1967, active in Paris"
http://vocab.getty.edu/ulan/500116055,"Westphalen, Olav","German sculptor, draftsman, and installation artist, born 1963, active in the United States"
http://vocab.getty.edu/ulan/500116118,"Althoff, Kai","German painter and installation artist, born 1966"
http://vocab.getty.edu/ulan/500116152,"Land, Peter","Danish video artist, born 1966"
http://vocab.getty.edu/ulan/500116178,"Zobernig, Heimo","Austrian sculptor and video artist, born 1958"
http://vocab.getty.edu/ulan/500116195,"Geers, Kendell","South African installation artist, born 1968"
http://vocab.getty.edu/ulan/500116257,Ant Farm,"American artists and architects, founded 1968"
http://vocab.getty.edu/ulan/500116308,"Alÿs, Francis","Belgian painter and photographer, born 1959"
http://vocab.getty.edu/ulan/500116335,"Yu, Xiao","Chinese performance and installation artist, born 1965"
http://vocab.getty.edu/ulan/500116344,"Bruguera, Tania","Cuban graphic artist and performance artist, born 1968"
http://vocab.getty.edu/ulan/500116362,"Ostojić, Tanja","Serbian performance artist, born 1972"
http://vocab.getty.edu/ulan/500116364,"Galindo, Regina","Guatemalan performance and video artist, born 1974"
http://vocab.getty.edu/ulan/500116365,"Rose, Tracey","South African performance artist and installation artist, born 1974"
http://vocab.getty.edu/ulan/500116369,"Zhen, Xu","Chinese video and performance artist, born 1977"
http://vocab.getty.edu/ulan/500116386,"Acres, Ethan","American artist and minister, born 1970"
http://vocab.getty.edu/ulan/500116653,"Muzquiz, Milena","Mexican performance artist and singer, born 1974, active in Los Angeles"
http://vocab.getty.edu/ulan/500117565,"Sosa, Antonieta","Venezuelan conceptual and performance artist, born 1940"
http://vocab.getty.edu/ulan/500117611,"Barboza, Diego","Venezuelan painter and performance artist, born 1945"
http://vocab.getty.edu/ulan/500117943,"Greco, Alberto","Argentine painter, sculptor, and performance artist, 1915-1965"
http://vocab.getty.edu/ulan/500118001,"Clark, Lygia","Brazilian painter, sculptor, and performance artist, 1920-1988"
http://vocab.getty.edu/ulan/500118086,Sapeck,"French illustrator, proto-performance artist, 1853-1891"
http://vocab.getty.edu/ulan/500118229,"Mendive, Manuel","Cuban painter and mixed-media artist, born 1944"
http://vocab.getty.edu/ulan/500118235,"Novoa, Glexis","Cuban printmaker, performance artist, and painter, born 1964"
http://vocab.getty.edu/ulan/500118742,"Nauman, Bruce","American sculptor, photographer, and performance artist, born 1941"
